image_name,is_cropped,total_area,roi_area,processing_time
image.7402_with_target,True,5,5,-1740975922874.8389
image.9718_with_target,True,118,118,-1740975922874.4365
image.8388_with_target,True,343,343,-1740975922875.1057
image.9847_with_target,True,5,5,-1740975922875.047
image.2274_with_target,True,36,36,-1740975922875.0774
image.0418_with_target,True,26,26,-1740975922875.0486
image.6230_with_target,True,5,5,-1740975922875.1335
image.9426_with_target,True,94,94,-1740975922875.056
image.7347_with_target,True,145,145,-1740975922875.085
image.2619_with_target,True,1414,1414,-1740975922874.9717
image.1514_with_target,True,5,5,-1740975922875.0654
image.6575_with_target,True,39,39,-1740975922874.9253
image.9101_with_target,True,5,5,-1740975922874.7258
image.3301_with_target,True,63,63,-1740975922875.0051
image.6269_with_target,True,1411,1411,-1740975922875.0754
image.0031_with_target,True,277,277,-1740975922875.0625
image.2920_with_target,True,1427,1427,-1740975922872.9329
image.4442_with_target,True,127,127,-1740975922875.1272
image.4956_with_target,True,42,42,-1740975922874.9307
image.9853_with_target,True,258,258,-1740975922875.007
image.6108_with_target,True,5,5,-1740975922875.2122
image.8670_with_target,True,5,5,-1740975922874.843
image.8865_with_target,True,5,5,-1740975922874.9229
image.1268_with_target,True,252,252,-1740975922875.068
image.6899_with_target,True,44,44,-1740975922875.0664
image.9964_with_target,True,265,265,-1740975922875.0828
image.9013_with_target,True,1444,1444,-1740975922875.11
image.2836_with_target,True,5,5,-1740975922874.59
image.7879_with_target,True,510,510,-1740975922875.0227
image.5827_with_target,True,5,5,-1740975922875.1455
image.7672_with_target,True,1236,1236,-1740975922874.984
image.8786_with_target,True,10,10,-1740975922875.0046
image.8366_with_target,True,1452,1452,-1740975922875.1238
image.6531_with_target,True,5,5,-1740975922875.11
image.1609_with_target,True,5,5,-1740975922874.771
image.4978_with_target,True,243,243,-1740975922875.0693
image.1517_with_target,True,1350,1350,-1740975922875.128
image.9565_with_target,True,5,5,-1740975922875.1665
image.8484_with_target,True,194,194,-1740975922875.0986
image.5396_with_target,True,1441,1441,-1740975922875.14
image.1126_with_target,True,5,5,-1740975922874.398
image.0721_with_target,True,83,83,-1740975922875.0854
image.4025_with_target,True,65,65,-1740975922874.9963
image.9812_with_target,True,5,5,-1740975922875.0818
image.6887_with_target,True,435,435,-1740975922875.1306
image.4510_with_target,True,1405,1405,-1740975922874.7266
image.9156_with_target,True,5,5,-1740975922875.1067
image.3069_with_target,True,144,144,-1740975922875.1223
image.1025_with_target,True,119,119,-1740975922875.136
image.3141_with_target,True,1377,1377,-1740975922875.121
image.9757_with_target,True,5,5,-1740975922874.9106
image.5887_with_target,True,250,250,-1740975922874.9512
image.1796_with_target,True,98,98,-1740975922875.0369
image.6682_with_target,True,109,109,-1740975922874.8293
image.4224_with_target,True,1313,1313,-1740975922874.844
image.5255_with_target,True,390,390,-1740975922875.1104
image.5967_with_target,True,59,59,-1740975922875.1372
image.0288_with_target,True,199,199,-1740975922873.9238
image.8032_with_target,True,5,5,-1740975922875.1355
image.8425_with_target,True,5,5,-1740975922875.0637
image.7074_with_target,True,110,110,-1740975922874.847
image.4817_with_target,True,133,133,-1740975922874.31
image.8491_with_target,True,49,49,-1740975922874.6245
image.8134_with_target,True,1285,1285,-1740975922875.1248
image.5256_with_target,True,1408,1408,-1740975922875.136
image.3444_with_target,True,5,5,-1740975922875.045
image.8196_with_target,True,5,5,-1740975922875.0051
image.9962_with_target,True,1335,1335,-1740975922874.6858
image.7581_with_target,True,101,101,-1740975922873.5752
image.1601_with_target,True,35,35,-1740975922874.7683
image.1537_with_target,True,1365,1365,-1740975922875.022
image.3865_with_target,True,5,5,-1740975922875.07
image.7106_with_target,True,1421,1421,-1740975922875.0898
image.5623_with_target,True,1354,1354,-1740975922875.0557
image.2695_with_target,True,61,61,-1740975922875.0784
image.0236_with_target,True,1356,1356,-1740975922874.7588
image.5919_with_target,True,1368,1368,-1740975922875.04
image.7738_with_target,True,155,155,-1740975922874.5178
image.5266_with_target,True,148,148,-1740975922875.12
image.6999_with_target,True,5,5,-1740975922874.7756
image.4676_with_target,True,1343,1343,-1740975922874.7192
image.4292_with_target,True,1384,1384,-1740975922874.948
image.9061_with_target,True,25,25,-1740975922874.2805
image.5403_with_target,True,1380,1380,-1740975922875.0198
image.1098_with_target,True,321,321,-1740975922874.8977
image.5284_with_target,True,443,443,-1740975922873.5168
image.0366_with_target,True,5,5,-1740975922875.1682
image.9614_with_target,True,5,5,-1740975922875.0786
