image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image.8672_with_target,6,1.0,0.0,1.0,1.0,3684.5,22107
image.8687_with_target,2,1.0,0.0,1.0,1.0,9988.5,19977
image.8740_with_target,2,1.0,0.0,1.0,1.0,12467.0,24934
image.8746_with_target,6,1.0,0.0,1.0,1.0,3482.8333333333335,20897
image.8759_with_target,9,1.0,0.0,1.0,1.0,2252.777777777778,20275
image.8781_with_target,3,1.0,0.0,1.0,1.0,6418.333333333333,19255
image.8783_with_target,2,1.0,0.0,1.0,1.0,9960.0,19920
image.8786_with_target,4,1.0,0.0,1.0,1.0,4807.0,19228
image.8790_with_target,8,1.0,0.0,1.0,1.0,2627.375,21019
image.8809_with_target,2,1.0,0.0,1.0,1.0,9983.0,19966
image.8832_with_target,2,1.0,0.0,1.0,1.0,9998.0,19996
image.8865_with_target,8,1.0,0.0,1.0,1.0,4909.75,39278
image.8876_with_target,4,1.0,0.0,1.0,1.0,5429.25,21717
image.8894_with_target,7,1.0,0.0,1.0,1.0,2779.0,19453
image.8902_with_target,6,1.0,0.0,1.0,1.0,3389.8333333333335,20339
image.8905_with_target,4,1.0,0.0,1.0,1.0,5399.25,21597
image.8913_with_target,7,1.0,0.0,1.0,1.0,2860.285714285714,20022
image.8924_with_target,5,1.0,0.0,1.0,1.0,4132.2,20661
image.8957_with_target,3,1.0,0.0,1.0,1.0,6410.666666666667,19232
image.8964_with_target,6,1.0,0.0,1.0,1.0,3335.3333333333335,20012
image.8973_with_target,3,1.0,0.0,1.0,1.0,6664.0,19992
image.8985_with_target,2,1.0,0.0,1.0,1.0,9983.0,19966
image.8992_with_target,2,1.0,0.0,1.0,1.0,9984.0,19968
image.9005_with_target,2,1.0,0.0,1.0,1.0,9983.0,19966
image.9012_with_target,7,1.0,0.0,1.0,1.0,2924.5714285714284,20472
image.9013_with_target,5,1.0,0.0,1.0,1.0,4429.8,22149
image.9018_with_target,7,1.0,0.0,1.0,1.0,3034.5714285714284,21242
image.9027_with_target,3,1.0,0.0,1.0,1.0,6406.333333333333,19219
image.9041_with_target,2,1.0,0.0,1.0,1.0,9976.0,19952
image.9061_with_target,6,1.0,0.0,1.0,1.0,3211.5,19269
image.9074_with_target,5,1.0,0.0,1.0,1.0,4384.8,21924
image.9083_with_target,3,1.0,0.0,1.0,1.0,6657.666666666667,19973
image.9084_with_target,2,1.0,0.0,1.0,1.0,9955.5,19911
image.9094_with_target,7,1.0,0.0,1.0,1.0,2945.0,20615
image.9096_with_target,10,1.0,0.0,1.0,1.0,1965.2,19652
image.9098_with_target,2,1.0,0.0,1.0,1.0,11184.0,22368
image.9099_with_target,2,1.0,0.0,1.0,1.0,9981.5,19963
image.9101_with_target,3,1.0,0.0,1.0,1.0,6447.666666666667,19343
image.9104_with_target,16,1.0,0.0,1.0,1.0,1264.4375,20231
image.9109_with_target,2,1.0,0.0,1.0,1.0,9986.5,19973
image.9115_with_target,2,1.0,0.0,1.0,1.0,9992.5,19985
image.9126_with_target,4,1.0,0.0,1.0,1.0,5543.75,22175
image.9142_with_target,8,1.0,0.0,1.0,1.0,2519.375,20155
image.9156_with_target,3,1.0,0.0,1.0,1.0,6397.0,19191
image.9169_with_target,5,1.0,0.0,1.0,1.0,3904.8,19524
image.9170_with_target,10,1.0,0.0,1.0,1.0,1951.0,19510
image.9173_with_target,2,1.0,0.0,1.0,1.0,9997.5,19995
image.9176_with_target,2,1.0,0.0,1.0,1.0,9978.0,19956
image.9189_with_target,2,1.0,0.0,1.0,1.0,9978.0,19956
image.9199_with_target,7,1.0,0.0,1.0,1.0,3009.4285714285716,21066
image.9224_with_target,5,1.0,0.0,1.0,1.0,4112.4,20562
image.9231_with_target,2,1.0,0.0,1.0,1.0,9985.5,19971
image.9251_with_target,2,1.0,0.0,1.0,1.0,9991.0,19982
image.9258_with_target,4,1.0,0.0,1.0,1.0,4820.5,19282
image.9259_with_target,4,1.0,0.0,1.0,1.0,5428.0,21712
image.9262_with_target,8,1.0,0.0,1.0,1.0,2632.25,21058
image.9263_with_target,6,1.0,0.0,1.0,1.0,3324.0,19944
image.9326_with_target,6,1.0,0.0,1.0,1.0,3352.0,20112
image.9334_with_target,8,1.0,0.0,1.0,1.0,2657.75,21262
image.9361_with_target,4,1.0,0.0,1.0,1.0,5368.5,21474
image.9375_with_target,14,1.0,0.0,1.0,1.0,1456.2857142857142,20388
image.9411_with_target,2,1.0,0.0,1.0,1.0,10014.0,20028
