image_name,cell_count,mean_deformability,std_deformability,min_deformability,max_deformability,mean_area,total_area
image_6853_with_target,3,0.5,0.0,0.5,0.5,2859.6666666666665,8579
image_6875_with_target,5,0.5,0.0,0.5,0.5,1126.4,5632
image_6876_with_target,7,0.5,0.0,0.5,0.5,804.7142857142857,5633
image_6882_with_target,3,0.5,0.0,0.5,0.5,2751.3333333333335,8254
image_6889_with_target,5,0.5,0.0,0.5,0.5,1658.2,8291
image_6902_with_target,6,0.5,0.0,0.5,0.5,683.0,4098
image_6904_with_target,30,0.5,0.0,0.5,0.5,409.73333333333335,12292
image_6905_with_target,3,0.5,0.0,0.5,0.5,2313.3333333333335,6940
image_6931_with_target,2,0.5,0.0,0.5,0.5,1977.0,3954
image_6937_with_target,6,0.5,0.0,0.5,0.5,755.0,4530
image_6977_with_target,5,0.5,0.0,0.5,0.5,1459.8,7299
image_6980_with_target,5,0.5,0.0,0.5,0.5,1402.2,7011
image_7003_with_target,5,0.5,0.0,0.5,0.5,1078.0,5390
image_7009_with_target,6,0.5,0.0,0.5,0.5,704.1666666666666,4225
image_7017_with_target,11,0.5,0.0,0.5,0.5,416.09090909090907,4577
image_7024_with_target,4,0.5,0.0,0.5,0.5,1703.75,6815
image_7027_with_target,4,0.5,0.0,0.5,0.5,1283.75,5135
image_7058_with_target,3,0.5,0.0,0.5,0.5,2822.6666666666665,8468
image_7094_with_target,16,0.5,0.0,0.5,0.5,526.0625,8417
image_7096_with_target,6,0.5,0.0,0.5,0.5,1327.8333333333333,7967
image_7099_with_target,9,0.5,0.0,0.5,0.5,566.0,5094
image_7118_with_target,8,0.5,0.0,0.5,0.5,648.0,5184
image_7119_with_target,8,0.5,0.0,0.5,0.5,633.375,5067
image_7128_with_target,6,0.5,0.0,0.5,0.5,2085.5,12513
image_7133_with_target,15,0.5,0.0,0.5,0.5,520.1333333333333,7802
image_7134_with_target,3,0.5,0.0,0.5,0.5,2248.6666666666665,6746
image_7158_with_target,14,0.5,0.0,0.5,0.5,573.5714285714286,8030
image_7174_with_target,17,0.5,0.0,0.5,0.5,462.47058823529414,7862
image_7175_with_target,4,0.5,0.0,0.5,0.5,1805.75,7223
image_7188_with_target,7,0.5,0.0,0.5,0.5,771.8571428571429,5403
image_7190_with_target,6,0.5,0.0,0.5,0.5,643.3333333333334,3860
image_7198_with_target,4,0.5,0.0,0.5,0.5,1705.5,6822
image_7207_with_target,5,0.5,0.0,0.5,0.5,1076.8,5384
image_7209_with_target,9,0.5,0.0,0.5,0.5,911.7777777777778,8206
image_7211_with_target,9,0.5,0.0,0.5,0.5,584.0,5256
image_7213_with_target,3,0.5,0.0,0.5,0.5,2294.0,6882
image_7218_with_target,4,0.5,0.0,0.5,0.5,1345.0,5380
image_7221_with_target,3,0.5,0.0,0.5,0.5,2710.3333333333335,8131
image_7223_with_target,2,0.5,0.0,0.5,0.5,1981.5,3963
image_7233_with_target,16,0.5,0.0,0.5,0.5,302.375,4838
image_7237_with_target,14,0.5,0.0,0.5,0.5,587.7857142857143,8229
image_7244_with_target,12,0.5,0.0,0.5,0.5,442.6666666666667,5312
image_7248_with_target,18,0.5,0.0,0.5,0.5,293.72222222222223,5287
image_7250_with_target,7,0.5,0.0,0.5,0.5,1152.142857142857,8065
image_7251_with_target,7,0.5,0.0,0.5,0.5,1137.857142857143,7965
image_7260_with_target,3,0.5,0.0,0.5,0.5,1811.0,5433
image_7261_with_target,3,0.5,0.0,0.5,0.5,1815.6666666666667,5447
image_7262_with_target,16,0.5,0.0,0.5,0.5,325.25,5204
image_7279_with_target,16,0.5,0.0,0.5,0.5,334.5625,5353
image_7297_with_target,15,0.5,0.0,0.5,0.5,333.8666666666667,5008
image_7305_with_target,2,0.5,0.0,0.5,0.5,1983.0,3966
