image_name,is_cropped,total_area,roi_area,num_contours
image.7009_with_target,True,4029,4029,4
image.7175_with_target,True,5545,5545,3
image.7188_with_target,True,4645,4645,4
image.7190_with_target,True,3833,3833,4
image.7415_with_target,True,5370,5370,3
image.7455_with_target,True,4038,4038,7
image.7676_with_target,True,4081,4081,3
image.7707_with_target,True,4062,4062,4
image.7756_with_target,True,5434,5434,3
image.7840_with_target,True,3924,3924,4
image.7864_with_target,True,3949,3949,2
image.7888_with_target,True,5484,5484,3
image.7923_with_target,True,4106,4106,3
image.7984_with_target,True,5340,5340,3
image.8039_with_target,True,3988,3988,3
image.8065_with_target,True,5398,5398,3
image.8184_with_target,True,3993,3993,4
image.8336_with_target,True,3890,3890,4
image.8504_with_target,True,5397,5397,3
image.8607_with_target,True,3845,3845,4
image.8688_with_target,True,3821,3821,3
image.9034_with_target,True,4141,4141,3
image.9035_with_target,True,5449,5449,3
image.9441_with_target,True,5376,5376,3
image.9557_with_target,True,5475,5475,3
image.9923_with_target,True,3995,3995,4
image.9985_with_target,True,3884,3884,4
image_0111_with_target,True,5446,5446,3
image_0129_with_target,True,4122,4122,8
image_0202_with_target,True,4634,4634,4
image_0426_with_target,True,5484,5484,3
image_0440_with_target,True,5584,5584,3
image_0689_with_target,True,4056,4056,4
image_0769_with_target,True,5752,5752,2
image_0898_with_target,True,4061,4061,4
image_0932_with_target,True,3926,3926,6
image_1027_with_target,True,3923,3923,8
image_1104_with_target,True,4891,4891,3
image_1226_with_target,True,5504,5504,3
image_1269_with_target,True,3866,3866,4
image_1304_with_target,True,4524,4524,5
image_1350_with_target,True,5303,5303,3
image_1366_with_target,True,3950,3950,4
image_1452_with_target,True,3989,3989,3
image_1498_with_target,True,3874,3874,4
image_1608_with_target,True,3936,3936,4
image_1624_with_target,True,3999,3999,4
image_1644_with_target,True,5478,5478,3
image_1679_with_target,True,5588,5588,3
image_1739_with_target,True,4019,4019,4
image_1930_with_target,True,4156,4156,4
image_1938_with_target,True,3886,3886,4
image_1966_with_target,True,5498,5498,4
image_2083_with_target,True,5635,5635,3
image_2253_with_target,True,5505,5505,3
image_2354_with_target,True,5391,5391,3
image_2493_with_target,True,4243,4243,6
image_2538_with_target,True,4049,4049,6
image_2837_with_target,True,5500,5500,4
image_2845_with_target,True,4014,4014,3
image_2880_with_target,True,5162,5162,3
image_3144_with_target,True,5400,5400,3
image_3290_with_target,True,3852,3852,3
image_3387_with_target,True,5723,5723,3
image_3626_with_target,True,4048,4048,4
image_3812_with_target,True,5147,5147,3
image_3892_with_target,True,5612,5612,3
image_4148_with_target,True,4008,4008,4
image_4153_with_target,True,4081,4081,3
image_4191_with_target,True,3895,3895,3
image_4395_with_target,True,4061,4061,3
image_4493_with_target,True,3887,3887,3
image_4512_with_target,True,5343,5343,3
image_4552_with_target,True,5549,5549,3
image_4624_with_target,True,5496,5496,3
image_4905_with_target,True,3929,3929,4
image_5606_with_target,True,5483,5483,3
image_5709_with_target,True,3828,3828,4
image_5916_with_target,True,3970,3970,3
image_5917_with_target,True,3950,3950,3
image_6014_with_target,True,3977,3977,4
image_6015_with_target,True,3974,3974,5
image_6284_with_target,True,5364,5364,3
image_6807_with_target,True,5496,5496,3
image_6842_with_target,True,5544,5544,3
image_6902_with_target,True,3965,3965,4
image_6904_with_target,True,5325,5325,3
image_6977_with_target,True,5578,5578,3
image_6980_with_target,True,5322,5322,3
image_7009_with_target,True,4029,4029,4
image_7175_with_target,True,5545,5545,3
image_7188_with_target,True,4645,4645,4
image_7190_with_target,True,3833,3833,4
image_7415_with_target,True,5370,5370,3
image_7455_with_target,True,4038,4038,7
image_7676_with_target,True,4081,4081,3
image_7707_with_target,True,4062,4062,4
image_7756_with_target,True,5434,5434,3
image_7840_with_target,True,3924,3924,4
image_7864_with_target,True,3949,3949,2
image_7888_with_target,True,5484,5484,3
image_7923_with_target,True,4106,4106,3
image_7984_with_target,True,5340,5340,3
image_8039_with_target,True,3988,3988,3
image_8065_with_target,True,5398,5398,3
image_8184_with_target,True,3993,3993,4
image_8336_with_target,True,3890,3890,4
image_8504_with_target,True,5397,5397,3
image_8607_with_target,True,3845,3845,4
image_8688_with_target,True,3821,3821,3
image_9034_with_target,True,4141,4141,3
image_9035_with_target,True,5449,5449,3
image_9441_with_target,True,5376,5376,3
image_9557_with_target,True,5475,5475,3
image_9923_with_target,True,3995,3995,4
image_9985_with_target,True,3884,3884,4
image.0111_with_target,True,5446,5446,3
image.0129_with_target,True,4122,4122,8
image.0202_with_target,True,4634,4634,4
image.0426_with_target,True,5484,5484,3
image.0440_with_target,True,5584,5584,3
image.0689_with_target,True,4056,4056,4
image.0769_with_target,True,5752,5752,2
image.0898_with_target,True,4061,4061,4
image.0932_with_target,True,3926,3926,6
image.1027_with_target,True,3923,3923,8
image.1104_with_target,True,4891,4891,3
image.1226_with_target,True,5504,5504,3
image.1269_with_target,True,3866,3866,4
image.1304_with_target,True,4524,4524,5
image.1350_with_target,True,5303,5303,3
image.1366_with_target,True,3950,3950,4
image.1452_with_target,True,3989,3989,3
image.1498_with_target,True,3874,3874,4
image.1608_with_target,True,3936,3936,4
image.1624_with_target,True,3999,3999,4
image.1644_with_target,True,5478,5478,3
image.1679_with_target,True,5588,5588,3
image.1739_with_target,True,4019,4019,4
image.1930_with_target,True,4156,4156,4
image.1938_with_target,True,3886,3886,4
image.1966_with_target,True,5498,5498,4
image.2083_with_target,True,5635,5635,3
image.2253_with_target,True,5505,5505,3
image.2354_with_target,True,5391,5391,3
image.2493_with_target,True,4243,4243,6
image.2538_with_target,True,4049,4049,6
