image_name,is_cropped,total_area,roi_area,processing_time
image.4425_with_target,False,19240,19230,-1740975896333.3743
image.5981_with_target,False,19466,19466,-1740975896333.5703
image.3825_with_target,False,20610,20605,-1740975896333.716
image.6051_with_target,False,19298,19285,-1740975896333.545
image.6565_with_target,False,19473,19391,-1740975896332.1912
image.8614_with_target,False,20675,20623,-1740975896333.2397
image.7728_with_target,False,19312,19312,-1740975896331.3176
image.3264_with_target,False,19272,19250,-1740975896332.5664
image.8255_with_target,False,19179,19165,-1740975896333.6704
image.3354_with_target,False,19295,19295,-1740975896333.1992
image.4408_with_target,False,19831,19821,-1740975896333.243
image.5958_with_target,False,19527,19522,-1740975896333.6536
image.5755_with_target,False,19266,19241,-1740975896333.607
image.9096_with_target,False,19502,19491,-1740975896332.9353
image.5068_with_target,False,20684,20670,-1740975896333.654
image.7158_with_target,False,19252,19239,-1740975896333.1995
image.4247_with_target,False,20521,20513,-1740975896332.7437
image.9169_with_target,False,19454,19378,-1740975896333.2388
image.4312_with_target,False,19200,19200,-1740975896333.7102
image.8572_with_target,False,20687,20676,-1740975896332.5432
image.8876_with_target,False,20502,20494,-1740975896333.64
image.8599_with_target,False,19891,19886,-1740975896333.6626
image.4280_with_target,False,19263,19249,-1740975896333.6409
image.9972_with_target,False,19292,19279,-1740975896333.5837
image.4259_with_target,False,19779,19771,-1740975896333.3623
image.1278_with_target,False,20902,20674,-1740975896333.37
image.4929_with_target,False,19898,19898,-1740975896333.4705
image.9258_with_target,False,19264,19264,-1740975896333.6624
image.7180_with_target,False,19440,19432,-1740975896318.8916
image.4896_with_target,False,20634,20621,-1740975896332.1655
image.3030_with_target,False,19896,19877,-1740975896333.3938
image.5152_with_target,False,20826,20777,-1740975896333.2083
image.2782_with_target,False,19296,19220,-1740975896333.5044
image.4505_with_target,False,20713,20688,-1740975896333.159
image.7026_with_target,False,19209,19204,-1740975896333.2256
image.2966_with_target,False,19243,19233,-1740975896333.2058
image.0796_with_target,False,19337,19327,-1740975896333.6218
image.6757_with_target,False,19234,19221,-1740975896333.677
image.8383_with_target,False,19255,19242,-1740975896333.5945
image.3799_with_target,False,19308,19297,-1740975896333.6301
image.7248_with_target,False,19305,19281,-1740975896333.341
image.6937_with_target,False,19591,19586,-1740975896333.5388
image.2607_with_target,False,19876,19866,-1740975896333.3186
image.6131_with_target,False,20719,20682,-1740975896332.796
